id,Status,Title,Issue Link,PR or Commit Link,Trigger,Symptom,Cause (sub-category),Cause (high-level),Fix Pattern,,,
1,Closed,Returning a `&*mut T` fails due to discards qualifiers and `&*const T` fails with duplicate const,https://github.com/dtolnay/cxx/issues/1139,https://github.com/dtolnay/cxx/pull/1140,Reference;Pointer,Compilation Error,Incorrect Function Signature; Duplicated Const Qualifier,UFC;IRC,,,,
2,Closed,Bridge attribute breaks inner attributes,https://github.com/dtolnay/cxx/issues/833,https://github.com/dtolnay/cxx/pull/834,Attribute,Crash,Attribute Handling Error,TBE,,,,
3,Closed,Method comments in generated C++ are misplaced,https://github.com/dtolnay/cxx/issues/829,https://github.com/dtolnay/cxx/pull/832,Comment,Incorrect Output,Incorrect Comment,UFC,,,,
4,Closed,Fails to compile unique ptr containing C++ type with lifetime that is elided,https://github.com/dtolnay/cxx/issues/805,https://github.com/dtolnay/cxx/pull/806,Lifetime,Crash,Lifetime Handling Error,TBE,Mutate method chain;Mutate Condtion in if,,,
5,Closed,Undeclared lifetime when function pointer argument contains lifetime from extern signature,https://github.com/dtolnay/cxx/issues/739,https://github.com/dtolnay/cxx/pull/828,Lifetime;Reference,Compilation Error,Lifetime Handling Error,TBE,Wrapping Method,,,
6,Closed,rust::Fn call with non-const reference argument fails to compile,https://github.com/dtolnay/cxx/issues/738,https://github.com/dtolnay/cxx/pull/814,Builtin type;Reference,Compilation Error,Incorrect Function Signature,UFC,,,,
7,Closed,let_cxx_string does not compile if lhs variable name is used in the rhs expression,https://github.com/dtolnay/cxx/issues/701,https://github.com/dtolnay/cxx/commit/aa153ee92cc185c05dd6a42f680229b9a8bfe005,Macro,Crash,,,,,,
8,Closed,Pinning and mut,https://github.com/dtolnay/cxx/issues/583,https://github.com/dtolnay/cxx/pull/585,Reference,Crash,,,Guard Clause,,,
9,Closed,Some Box constructors are not exception safe,https://github.com/dtolnay/cxx/issues/570,https://github.com/dtolnay/cxx/pull/574,Builtin type;Pointer,Incorrect Output,Unsafe FFI,USC,,,,
10,Closed,C++ MaybeUninit bypasses class-specific member operator new,https://github.com/dtolnay/cxx/issues/553,https://github.com/dtolnay/cxx/pull/558,Builtin type;Pointer,Incorrect output,Unsafe FFI,USC,,,,
11,Closed,CxxVector generates unique_ptr code but doesn't include <memory>,https://github.com/dtolnay/cxx/issues/548,https://github.com/dtolnay/cxx/commit/7082067186909fa4bbece010dafbb25a0b9f7e44,Builtin type;Pointer;Vector,Compilation Error,Missing Import Statement,IMRE,,,,
12,Closed,Can't use Vec<shared type from another module>,https://github.com/dtolnay/cxx/issues/535,https://github.com/dtolnay/cxx/pull/541,Builtin type;Vector,Compilation Error,,,Add match arm;Mutate Condition,,,
13,Closed,Include <cstdint> when generating enums,https://github.com/dtolnay/cxx/issues/477,https://github.com/dtolnay/cxx/pull/478,Enum;Primitive Datatype,Compilation Error,Missing Import Statement,IMRE,Mutate match arm,,,
14,Closed,Bug when defining methods on shared structs,https://github.com/dtolnay/cxx/issues/442,https://github.com/dtolnay/cxx/issues/442,Struct,Compilation Error,Incorrect Function Signature,UFC,Mutate Condition,,,
15,Closed,Can't return Result<Box<T>>,https://github.com/dtolnay/cxx/issues/309,https://github.com/dtolnay/cxx/pull/311,Enum;Pointer;Struct,Compilation Error,,,Wrapping if;Insert Match Block,,,
16,Closed,Fails to cross-compile from linux to pc-windows-gnu,https://github.com/dtolnay/cxx/issues/302,https://github.com/dtolnay/cxx/pull/303,,Compilation Error,Platform Compatibility Issue;Incorrect import path,CPI;IMRE,,,,
17,Closed,Not accepting C++ namespace containing Rust keyword,https://github.com/dtolnay/cxx/issues/286,https://github.com/dtolnay/cxx/pull/287,Namespace;Attribute,Crash,,,,,,
18,Closed,Missing some definitions in generated code involving Vec,https://github.com/dtolnay/cxx/issues/277,https://github.com/dtolnay/cxx/commit/99a95e66b6aa8fc8d6c7f62a30e99ddbcc542c85 https://github.com/dtolnay/cxx/commit/16ab1461832d5c7a2bbb3c1e3600bda9951b2f4a,Builtin type;Vector;Struct,Compilation Error,Missing type definition;Missing function definition,INC,Mutate Condition;Mutate match arm,,,
19,Closed,Pass Vec of FFI-defined shared struct from C++ to Rust?,https://github.com/dtolnay/cxx/issues/256,https://github.com/dtolnay/cxx/pull/263,Builtin type;Vector;Struct,Compilation Error,Incorrect Mutability;Incorrect Function Signature,UFC,Add match arm,,,
20,Closed,"Pass-by-reference of shared struct containing String to C++ FFI gives ""not FFI-safe"" error",https://github.com/dtolnay/cxx/issues/249,https://github.com/dtolnay/cxx/pull/408,Builtin type;Reference;Struct,Compilation Error,Unsafe FFI,USC,Mutate method argument;Add match arm;Mutate method chain,,,
21,Closed,UniquePtr of pure virtual opaque extern C type doesn't compile,https://github.com/dtolnay/cxx/issues/93,https://github.com/dtolnay/cxx/pull/94,Builtin type;Pointer,Compilation Error,Misgenerated Shim Function,IRC,Wrapping if;Mutate method argument,,,
22,Closed,Initializing values inside of `RustBox` needs to avoid ADL,https://github.com/dtolnay/cxx/issues/7,https://github.com/dtolnay/cxx/pull/40,Builtin type;Pointer,Incorrect Output,Unsafe FFI,USC,,,,
23,Open,Duplicate const generated on cxx::bridge file in C++,https://github.com/dtolnay/cxx/issues/830,,Builtin type,Compilation Error,Incorrect Function Signature; Duplicated Const Qualifier,UFC,,,,
24,Open,Noncompilable C++ code if method has different explicit namespace than the receiver,https://github.com/dtolnay/cxx/issues/460,,Namespace;Attribute,Compilation Error,Incorrect Namespace,UFC;IRC,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,